sample_id(HipSci_cellline_id)	fastq1_file	fastq2_file
SAMEA2398552	ERR1243460/ERR1243460_1.fastq.gz	ERR1243460/ERR1243460_2.fastq.gz
SAMEA2399461	ERR1203464/ERR1203464_1.fastq.gz	ERR1203464/ERR1203464_2.fastq.gz
SAMEA2399461	ERR1243467/ERR1243467_1.fastq.gz	ERR1243467/ERR1243467_2.fastq.gz
SAMEA2399463	ERR1203465/ERR1203465_1.fastq.gz	ERR1203465/ERR1203465_2.fastq.gz
SAMEA2399463	ERR1243468/ERR1243468_1.fastq.gz	ERR1243468/ERR1243468_2.fastq.gz
SAMEA2420640	ERR946978/ERR946978_1.fastq.gz	ERR946978/ERR946978_2.fastq.gz
SAMEA2420640	ERR947003/ERR947003_1.fastq.gz	ERR947003/ERR947003_2.fastq.gz
SAMEA2433566	ERR946959/ERR946959_1.fastq.gz	ERR946959/ERR946959_2.fastq.gz
SAMEA2433566	ERR946964/ERR946964_1.fastq.gz	ERR946964/ERR946964_2.fastq.gz
SAMEA2433568	ERR946958/ERR946958_1.fastq.gz	ERR946958/ERR946958_2.fastq.gz
SAMEA2433568	ERR946963/ERR946963_1.fastq.gz	ERR946963/ERR946963_2.fastq.gz
SAMEA2445779	ERR914283/ERR914283_1.fastq.gz	ERR914283/ERR914283_2.fastq.gz
SAMEA2445779	ERR914319/ERR914319_1.fastq.gz	ERR914319/ERR914319_2.fastq.gz
SAMEA2445783	ERR946973/ERR946973_1.fastq.gz	ERR946973/ERR946973_2.fastq.gz
SAMEA2445783	ERR946998/ERR946998_1.fastq.gz	ERR946998/ERR946998_2.fastq.gz
SAMEA2445784	ERR914295/ERR914295_1.fastq.gz	ERR914295/ERR914295_2.fastq.gz
SAMEA2445784	ERR914331/ERR914331_1.fastq.gz	ERR914331/ERR914331_2.fastq.gz
SAMEA2445787	ERR1203468/ERR1203468_1.fastq.gz	ERR1203468/ERR1203468_2.fastq.gz
SAMEA2445787	ERR1243471/ERR1243471_1.fastq.gz	ERR1243471/ERR1243471_2.fastq.gz
SAMEA2445790	ERR914310/ERR914310_1.fastq.gz	ERR914310/ERR914310_2.fastq.gz
SAMEA2445790	ERR914346/ERR914346_1.fastq.gz	ERR914346/ERR914346_2.fastq.gz
SAMEA2459959	ERR946960/ERR946960_1.fastq.gz	ERR946960/ERR946960_2.fastq.gz
SAMEA2459959	ERR946965/ERR946965_1.fastq.gz	ERR946965/ERR946965_2.fastq.gz
SAMEA2459961	ERR914298/ERR914298_1.fastq.gz	ERR914298/ERR914298_2.fastq.gz
SAMEA2459961	ERR914334/ERR914334_1.fastq.gz	ERR914334/ERR914334_2.fastq.gz
SAMEA2459968	ERR1724694/ERR1724694_1.fastq.gz	ERR1724694/ERR1724694_2.fastq.gz
SAMEA2459968	ERR1743784/ERR1743784_1.fastq.gz	ERR1743784/ERR1743784_2.fastq.gz
SAMEA2459970	ERR1274908/ERR1274908_1.fastq.gz	ERR1274908/ERR1274908_2.fastq.gz
SAMEA2459970	ERR1274916/ERR1274916_1.fastq.gz	ERR1274916/ERR1274916_2.fastq.gz
SAMEA2464779	ERR946972/ERR946972_1.fastq.gz	ERR946972/ERR946972_2.fastq.gz
SAMEA2464779	ERR946997/ERR946997_1.fastq.gz	ERR946997/ERR946997_2.fastq.gz
SAMEA2464797	ERR1203461/ERR1203461_1.fastq.gz	ERR1203461/ERR1203461_2.fastq.gz
SAMEA2464797	ERR1243464/ERR1243464_1.fastq.gz	ERR1243464/ERR1243464_2.fastq.gz
SAMEA2464810	ERR946961/ERR946961_1.fastq.gz	ERR946961/ERR946961_2.fastq.gz
SAMEA2464810	ERR946966/ERR946966_1.fastq.gz	ERR946966/ERR946966_2.fastq.gz
SAMEA2464814	ERR946957/ERR946957_1.fastq.gz	ERR946957/ERR946957_2.fastq.gz
SAMEA2464814	ERR946962/ERR946962_1.fastq.gz	ERR946962/ERR946962_2.fastq.gz
SAMEA2464819	ERR914296/ERR914296_1.fastq.gz	ERR914296/ERR914296_2.fastq.gz
SAMEA2464819	ERR914332/ERR914332_1.fastq.gz	ERR914332/ERR914332_2.fastq.gz
SAMEA2474454	ERR946988/ERR946988_1.fastq.gz	ERR946988/ERR946988_2.fastq.gz
SAMEA2474454	ERR947013/ERR947013_1.fastq.gz	ERR947013/ERR947013_2.fastq.gz
SAMEA2474456	ERR862690/ERR862690_1.fastq.gz	ERR862690/ERR862690_2.fastq.gz
SAMEA2474456	ERR946967/ERR946967_1.fastq.gz	ERR946967/ERR946967_2.fastq.gz
SAMEA2474458	ERR946985/ERR946985_1.fastq.gz	ERR946985/ERR946985_2.fastq.gz
SAMEA2474458	ERR947010/ERR947010_1.fastq.gz	ERR947010/ERR947010_2.fastq.gz
SAMEA2494988	ERR914302/ERR914302_1.fastq.gz	ERR914302/ERR914302_2.fastq.gz
SAMEA2494988	ERR914338/ERR914338_1.fastq.gz	ERR914338/ERR914338_2.fastq.gz
SAMEA2498700	ERR946971/ERR946971_1.fastq.gz	ERR946971/ERR946971_2.fastq.gz
SAMEA2498700	ERR946996/ERR946996_1.fastq.gz	ERR946996/ERR946996_2.fastq.gz
SAMEA2518322	ERR914289/ERR914289_1.fastq.gz	ERR914289/ERR914289_2.fastq.gz
SAMEA2518322	ERR914325/ERR914325_1.fastq.gz	ERR914325/ERR914325_2.fastq.gz
SAMEA2518324	ERR946984/ERR946984_1.fastq.gz	ERR946984/ERR946984_2.fastq.gz
SAMEA2518324	ERR947009/ERR947009_1.fastq.gz	ERR947009/ERR947009_2.fastq.gz
SAMEA2518325	ERR946992/ERR946992_1.fastq.gz	ERR946992/ERR946992_2.fastq.gz
SAMEA2518325	ERR947017/ERR947017_1.fastq.gz	ERR947017/ERR947017_2.fastq.gz
SAMEA2518332	ERR914307/ERR914307_1.fastq.gz	ERR914307/ERR914307_2.fastq.gz
SAMEA2518332	ERR914343/ERR914343_1.fastq.gz	ERR914343/ERR914343_2.fastq.gz
SAMEA2518334	ERR1203454/ERR1203454_1.fastq.gz	ERR1203454/ERR1203454_2.fastq.gz
SAMEA2518334	ERR1243457/ERR1243457_1.fastq.gz	ERR1243457/ERR1243457_2.fastq.gz
SAMEA2518338	ERR1724695/ERR1724695_1.fastq.gz	ERR1724695/ERR1724695_2.fastq.gz
SAMEA2518338	ERR1743785/ERR1743785_1.fastq.gz	ERR1743785/ERR1743785_2.fastq.gz
SAMEA2533336	ERR1203452/ERR1203452_1.fastq.gz	ERR1203452/ERR1203452_2.fastq.gz
SAMEA2533336	ERR1243455/ERR1243455_1.fastq.gz	ERR1243455/ERR1243455_2.fastq.gz
SAMEA2533339	ERR946989/ERR946989_1.fastq.gz	ERR946989/ERR946989_2.fastq.gz
SAMEA2533339	ERR947014/ERR947014_1.fastq.gz	ERR947014/ERR947014_2.fastq.gz
SAMEA2536404	ERR946968/ERR946968_1.fastq.gz	ERR946968/ERR946968_2.fastq.gz
SAMEA2536404	ERR946993/ERR946993_1.fastq.gz	ERR946993/ERR946993_2.fastq.gz
SAMEA2536405	ERR1274909/ERR1274909_1.fastq.gz	ERR1274909/ERR1274909_2.fastq.gz
SAMEA2536405	ERR1274917/ERR1274917_1.fastq.gz	ERR1274917/ERR1274917_2.fastq.gz
SAMEA2536410	ERR946969/ERR946969_1.fastq.gz	ERR946969/ERR946969_2.fastq.gz
SAMEA2536410	ERR946994/ERR946994_1.fastq.gz	ERR946994/ERR946994_2.fastq.gz
SAMEA2536412	ERR1203451/ERR1203451_1.fastq.gz	ERR1203451/ERR1203451_2.fastq.gz
SAMEA2536412	ERR1243454/ERR1243454_1.fastq.gz	ERR1243454/ERR1243454_2.fastq.gz
SAMEA2536413	ERR914313/ERR914313_1.fastq.gz	ERR914313/ERR914313_2.fastq.gz
SAMEA2536413	ERR914349/ERR914349_1.fastq.gz	ERR914349/ERR914349_2.fastq.gz
SAMEA2536416	ERR946990/ERR946990_1.fastq.gz	ERR946990/ERR946990_2.fastq.gz
SAMEA2536416	ERR947015/ERR947015_1.fastq.gz	ERR947015/ERR947015_2.fastq.gz
SAMEA2536417	ERR914306/ERR914306_1.fastq.gz	ERR914306/ERR914306_2.fastq.gz
SAMEA2536417	ERR914342/ERR914342_1.fastq.gz	ERR914342/ERR914342_2.fastq.gz
SAMEA2547615	ERR1203463/ERR1203463_1.fastq.gz	ERR1203463/ERR1203463_2.fastq.gz
