[Header]
INVESTIGATOR NAME,BeadStudio User
PROJECT NAME,HipSci_proj
EXPERIMENT NAME,HipSci_proj
DATE,10/7/2018 1:19:05 PM
[Manifests]
A,HumanCoreExome-12-v1-1-C
[Data]
Sample_ID,SentrixBarcode_A,SentrixPosition_A,Path,Aux
HPSI0413pf-uahf,9426369048,R04C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413pf-xekf,9439653008,R06C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413pf-xisg,9465555044,R06C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413pf-yotv,9465608129,R02C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413pf-yuze,9421902079,R06C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-aipt_1,9465555044,R06C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-aipt_2,9465604059,R01C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-aipt_3,9465604059,R02C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-aipt_33,9465555044,R05C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-bicb_1,9439653064,R02C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-bicb_3,9439653064,R03C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-bicb_4,9439653064,R01C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-cehw_1,9465555071,R01C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-cehw_2,9465555071,R02C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-cehw_3,9465555071,R03C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-coio_1,9439653038,R02C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-coio_2,9439653038,R04C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-coio_3,9439653038,R06C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-cuau_1,9466853019,R04C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-cuau_2,9466853019,R05C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-cuau_3,9466853019,R06C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-debk_7,9465608032,R06C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-debk_8,9465608032,R01C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-debk_9,9465608032,R02C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-dipe_1,9439653109,R01C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-dipe_2,9439653109,R02C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-dipe_3,9439653109,R03C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-dovq_1,9741953050,R02C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-dovq_2,9741953050,R03C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-dovq_3,9741953050,R04C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-dovq_33,9741953050,R01C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-dulv_1,9465604059,R05C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-dulv_2,9465604059,R06C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-euir_1,9465547104,R05C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-euir_2,9465547104,R04C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
