Study	BioSampleID	GenotypeID	Comment
HipSci	SAMEA2398450	HPSI0713i-darw_2	excluded to avoid cell_line from same donor
HipSci	SAMEA2397959	HPSI0613i-auim_3	excluded to avoid cell_line from same donor
HipSci	SAMEA2398098	HPSI0613i-vorx_3	excluded to avoid cell_line from same donor
HipSci	SAMEA2398553	HPSI0513i-cuau_1	excluded to avoid cell_line from same donor
HipSci	SAMEA2201451	HPSI0813i-ffdr_3	excluded to avoid cell_line from same donor
HipSci	SAMEA2398821	HPSI0513i-euir_2	excluded to avoid cell_line from same donor
HipSci	SAMEA2398134	HPSI0813i-ffdk_3	excluded to avoid cell_line from same donor
HipSci	SAMEA2399089	HPSI0313i-airc_66	excluded to avoid cell_line from same donor
HipSci	SAMEA2397920	HPSI1113i-nibo_2	excluded to avoid cell_line from same donor
HipSci	SAMEA2398128	HPSI0513i-xegx_2	excluded to avoid cell_line from same donor
HipSci	SAMEA2398073	HPSI0913i-ffdz_2	excluded to avoid cell_line from same donor
HipSci	SAMEA2201448	HPSI0813i-fpdk_2	excluded to avoid cell_line from same donor
HipSci	SAMEA2398043	HPSI0613i-liun_2	excluded to avoid cell_line from same donor
HipSci	SAMEA2398137	HPSI0713i-ruyv_1	excluded to avoid cell_line from same donor
HipSci	SAMEA2398316	HPSI0413i-ougl_1	excluded to avoid cell_line from same donor
HipSci	SAMEA2399182	HPSI0813i-fpdl_1	excluded to avoid cell_line from same donor
HipSci	SAMEA2398024	HPSI0513i-coio_1	excluded to avoid cell_line from same donor
HipSci	SAMEA2398442	HPSI0713i-qimz_1	excluded to avoid cell_line from same donor
HipSci	SAMEA2398224	HPSI0713i-aehn_2	excluded to avoid cell_line from same donor
HipSci	SAMEA2399058	HPSI0813i-iill_3	excluded to avoid cell_line from same donor
HipSci	SAMEA2398519	HPSI0513i-aipt_3	excluded to avoid cell_line from same donor
HipSci	SAMEA2398296	HPSI0513i-giuf_1	excluded to avoid cell_line from same donor
HipSci	SAMEA2399222	HPSI0613i-giuo_5	excluded to avoid cell_line from same donor
