sex	sample_id	Y_chrom_mean	ENSG00000229807
male	UCB1103	16.94962958076092	0.10974818369850106
male	UCB1104	17.393927964632706	0.15026731519429773
male	UCB1105	16.791327168055332	0.15103602849016437
female	UCB1106	0.07289247489210399	143.2029572679761
male	UCB1107	16.080394433792776	0.21336656536018409
male	UCB1108	16.310141139500548	0.05333701197586525
male	UCB1109	16.406349724706597	0.05198068411428285
male	UCB110	16.385763418336115	0
male	UCB1112	16.892178601275095	0.029613474396385335
male	UCB1113	17.757138856459292	0.20200030490848073
male	UCB1115	19.66518011142202	0.30111183697946214
male	UCB1116	17.52200726786147	0.1311867314031477
female	UCB1117	0.02025721636410442	150.66902595703382
female	UCB1119	0.017364257289197944	131.55919254438342
male	UCB1120	17.164548057186213	0.16155872838367666
male	UCB1123	14.980251175787151	0.08151734369490292
male	UCB1124	17.819187408374916	0.05347699337936714
male	UCB1125	17.055476815882493	0.3046666919023022
female	UCB1126	0.04338280461799808	166.59194277242617
female	UCB1128	0.03917725131766174	190.97606735044837
male	UCB1129	17.12984910838793	0.06443633607690777
male	UCB1130	17.116662827488398	0.23219621254914832
female	UCB1131	0.017026911662787032	165.3454084369745
female	UCB1135	0.003189481053379037	108.93370720202724
female	UCB1136	0.02231611134316785	118.57589000753295
male	UCB1137	18.519920826757733	0.1483352519322232
female	UCB1139	0.03231343636847313	152.98657831773946
female	UCB113	0.004842780453556714	36.73093483402302
male	UCB1143	15.79722306999616	0.04766359122544064
female	UCB1146	0.014635810274420182	144.48096341303327
female	UCB1148	0.09430047604124905	116.97277205688559
male	UCB114	14.323537796273785	0.03183051793893022
male	UCB1156	15.363554514538933	0.02642742050033975
male	UCB1159	16.45903642478487	0.10885844991458428
male	UCB115	13.250111953204526	0
female	UCB1160	0.05374641186251484	124.8383123407191
female	UCB1161	0.008022860516363629	146.91611223322667
male	UCB1163	15.5123270948955	0.0887303031733137
female	UCB1164	0.06180962063324158	100.22401988828784
female	UCB1167	0.024464244495507343	144.7561433007883
female	UCB1168	0.035660166249381356	108.75570102569516
male	UCB1169	13.922351909462776	0.23754830685196265
male	UCB116	19.35251285072749	0.03987243955753244
male	UCB1170	16.1978041206992	0.018726228749206465
female	UCB1171	0.04612821112663704	179.80027973962117
male	UCB1174	16.821816130522155	0.051363657489952905
female	UCB1175	0.017871522895036383	96.86681442588167
male	UCB1176	16.94104895566117	0.376666391393566
male	UCB1178	13.830334158286792	0.23634895610387827
female	UCB1179	0.045465533911485605	209.1367182190435
female	UCB117	0.001741833961622063	52.64013103107467
