sample_id	file_name	ega_file_name	cell_type	condition	read_length	paired	stranded	study	protocol	genotype_id	bam_name
UCB1059	UCB1059_120224_8_sorted.bam	EGAF00000187265	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1059	_EGAR00001105371_UCB1059_120224_8_sorted.bam
UCB105	UC105L_110204_2_sorted.bam	EGAF00000187142	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC105	_EGAR00001105248_UC105L_110204_2_sorted.bam
UCB1061	UCB1061_120224_1_sorted.bam	EGAF00000187266	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1061	_EGAR00001105372_UCB1061_120224_1_sorted.bam
UCB1062	UCB1062_120224_3_sorted.bam	EGAF00000187267	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1062	_EGAR00001105373_UCB1062_120224_3_sorted.bam
UCB1064	UCB1064_120229_4_sorted.bam	EGAF00000187268	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1064	_EGAR00001105374_UCB1064_120229_4_sorted.bam
UCB1067	UCB1067_120202_4_sorted.bam	EGAF00000187269	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1067	_EGAR00001105375_UCB1067_120202_4_sorted.bam
UCB1068	UCB1068_120202_8_sorted.bam	EGAF00000187270	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1068	_EGAR00001105376_UCB1068_120202_8_sorted.bam
UCB1069	UCB1069_120224_2_sorted.bam	EGAF00000187271	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1069	_EGAR00001105377_UCB1069_120224_2_sorted.bam
UCB1070	UCB1070_120229_7_sorted.bam	EGAF00000187272	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1070	_EGAR00001105378_UCB1070_120229_7_sorted.bam
UCB1071	UCB1071_120224_1_sorted.bam	EGAF00000187273	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1071	_EGAR00001105379_UCB1071_120224_1_sorted.bam
UCB1072	UCB1072_120224_4_sorted.bam	EGAF00000187274	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1072	_EGAR00001105380_UCB1072_120224_4_sorted.bam
UCB1073	UCB1073_120229_4_sorted.bam	EGAF00000187275	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1073	_EGAR00001105381_UCB1073_120229_4_sorted.bam
UCB1074	UCB1074_120224_1_sorted.bam	EGAF00000187276	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1074	_EGAR00001105382_UCB1074_120224_1_sorted.bam
UCB1075	UCB1075_120202_7_sorted.bam	EGAF00000187277	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1075	_EGAR00001105383_UCB1075_120202_7_sorted.bam
UCB1076	UCB1076_120224_1_sorted.bam	EGAF00000187278	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1076	_EGAR00001105384_UCB1076_120224_1_sorted.bam
UCB1077	UCB1077_120224_3_sorted.bam	EGAF00000187279	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1077	_EGAR00001105385_UCB1077_120224_3_sorted.bam
UCB1078	UCB1078_120224_1_sorted.bam	EGAF00000187280	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1078	_EGAR00001105386_UCB1078_120224_1_sorted.bam
UCB1079	UCB1079_120224_2_sorted.bam	EGAF00000187281	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1079	_EGAR00001105387_UCB1079_120224_2_sorted.bam
UCB1080	UCB1080_120224_4_sorted.bam	EGAF00000187282	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1080	_EGAR00001105388_UCB1080_120224_4_sorted.bam
UCB1083	UCB1083_120224_5_sorted.bam	EGAF00000187283	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1083	_EGAR00001105389_UCB1083_120224_5_sorted.bam
UCB1085	UCB1085_120229_7_sorted.bam	EGAF00000187284	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1085	_EGAR00001105390_UCB1085_120229_7_sorted.bam
UCB1086	UCB1086_120229_4_sorted.bam	EGAF00000187285	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1086	_EGAR00001105391_UCB1086_120229_4_sorted.bam
UCB1087	UCB1087_120229_7_sorted.bam	EGAF00000187286	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1087	_EGAR00001105392_UCB1087_120229_7_sorted.bam
UCB1088	UCB1088_120224_1_sorted.bam	EGAF00000187287	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1088	_EGAR00001105393_UCB1088_120224_1_sorted.bam
UCB1089	UCB1089_120229_8_sorted.bam	EGAF00000187288	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1089	_EGAR00001105394_UCB1089_120229_8_sorted.bam
UCB108	UC108L_110204_3_sorted.bam	EGAF00000187145	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC108	_EGAR00001105251_UC108L_110204_3_sorted.bam
UCB1090	UCB1090_120202_1_sorted.bam	EGAF00000187289	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1090	_EGAR00001105395_UCB1090_120202_1_sorted.bam
UCB1091	UCB1091_120229_4_sorted.bam	EGAF00000187290	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1091	_EGAR00001105396_UCB1091_120229_4_sorted.bam
UCB1092	UCB1092_120315_3_sorted.bam	EGAF00000187291	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1092	_EGAR00001105397_UCB1092_120315_3_sorted.bam
UCB1094	UCB1094_120224_7_sorted.bam	EGAF00000187292	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1094	_EGAR00001105398_UCB1094_120224_7_sorted.bam
UCB1096	UCB1096_120224_5_sorted.bam	EGAF00000187293	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1096	_EGAR00001105399_UCB1096_120224_5_sorted.bam
UCB1097	UCB1097_120224_1_sorted.bam	EGAF00000187294	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1097	_EGAR00001105400_UCB1097_120224_1_sorted.bam
UCB1098	UCB1098_120229_5_sorted.bam	EGAF00000187295	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1098	_EGAR00001105401_UCB1098_120229_5_sorted.bam
UCB1099	UCB1099_120202_5_sorted.bam	EGAF00000187296	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1099	_EGAR00001105402_UCB1099_120202_5_sorted.bam
UCB1100	UCB1100_120224_3_sorted.bam	EGAF00000187297	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1100	_EGAR00001105403_UCB1100_120224_3_sorted.bam
UCB1101	UCB1101_120229_2_sorted.bam	EGAF00000187298	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1101	_EGAR00001105404_UCB1101_120229_2_sorted.bam
UCB1102	UCB1102_120229_7_sorted.bam	EGAF00000187299	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1102	_EGAR00001105405_UCB1102_120229_7_sorted.bam
UCB1103	UCB1103_120202_6_sorted.bam	EGAF00000187300	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1103	_EGAR00001105406_UCB1103_120202_6_sorted.bam
UCB1104	UCB1104_120229_7_sorted.bam	EGAF00000187301	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1104	_EGAR00001105407_UCB1104_120229_7_sorted.bam
UCB1105	UCB1105_120202_1_sorted.bam	EGAF00000187302	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1105	_EGAR00001105408_UCB1105_120202_1_sorted.bam
UCB1106	UCB1106_120224_3_sorted.bam	EGAF00000187303	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1106	_EGAR00001105409_UCB1106_120224_3_sorted.bam
UCB1107	UCB1107_120224_8_sorted.bam	EGAF00000187304	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1107	_EGAR00001105410_UCB1107_120224_8_sorted.bam
UCB1108	UCB1108_120229_1_sorted.bam	EGAF00000187305	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1108	_EGAR00001105411_UCB1108_120229_1_sorted.bam
UCB1109	UCB1109_120229_3_sorted.bam	EGAF00000187306	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1109	_EGAR00001105412_UCB1109_120229_3_sorted.bam
UCB110	UC110L_100930_6_sorted.bam	EGAF00000187147	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC110	_EGAR00001105253_UC110L_100930_6_sorted.bam
UCB1112	UCB1112_120229_5_sorted.bam	EGAF00000187307	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1112	_EGAR00001105413_UCB1112_120229_5_sorted.bam
UCB1113	UCB1113_120202_2_sorted.bam	EGAF00000187308	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1113	_EGAR00001105414_UCB1113_120202_2_sorted.bam
UCB1115	UCB1115_120202_2_sorted.bam	EGAF00000187309	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1115	_EGAR00001105415_UCB1115_120202_2_sorted.bam
UCB1116	UCB1116_120229_2_sorted.bam	EGAF00000187310	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1116	_EGAR00001105416_UCB1116_120229_2_sorted.bam
UCB1117	UCB1117_120229_6_sorted.bam	EGAF00000187311	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1117	_EGAR00001105417_UCB1117_120229_6_sorted.bam
UCB1119	UCB1119_120229_7_sorted.bam	EGAF00000187312	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1119	_EGAR00001105418_UCB1119_120229_7_sorted.bam
UCB1120	UCB1120_120224_7_sorted.bam	EGAF00000187313	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1120	_EGAR00001105419_UCB1120_120224_7_sorted.bam
UCB1123	UCB1123_120229_3_sorted.bam	EGAF00000187314	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1123	_EGAR00001105420_UCB1123_120229_3_sorted.bam
UCB1124	UCB1124_120224_7_sorted.bam	EGAF00000187315	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1124	_EGAR00001105421_UCB1124_120224_7_sorted.bam
UCB1125	UCB1125_120202_6_sorted.bam	EGAF00000187316	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1125	_EGAR00001105422_UCB1125_120202_6_sorted.bam
UCB1126	UCB1126_120224_6_sorted.bam	EGAF00000187317	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1126	_EGAR00001105423_UCB1126_120224_6_sorted.bam
UCB1128	UCB1128_120224_3_sorted.bam	EGAF00000187318	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1128	_EGAR00001105424_UCB1128_120224_3_sorted.bam
UCB1129	UCB1129_120224_7_sorted.bam	EGAF00000187319	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1129	_EGAR00001105425_UCB1129_120224_7_sorted.bam
UCB1130	UCB1130_120224_8_sorted.bam	EGAF00000187320	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1130	_EGAR00001105426_UCB1130_120224_8_sorted.bam
UCB1131	UCB1131_120229_6_sorted.bam	EGAF00000187321	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1131	_EGAR00001105427_UCB1131_120229_6_sorted.bam
UCB1135	UCB1135_120229_5_sorted.bam	EGAF00000187322	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1135	_EGAR00001105428_UCB1135_120229_5_sorted.bam
UCB1136	UCB1136_120202_8_sorted.bam	EGAF00000187323	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1136	_EGAR00001105429_UCB1136_120202_8_sorted.bam
