sample_id	ega_id	fastq	ega_file
S0032EB4	EGAR00001147753	_EGAR00001147753_131029_SN935_0180_A_C131VACXX_GCCAAT_3_read1.fastq.gz	EGAF00000321696
S00382B3	EGAR00001155894	_EGAR00001155894_131107_SN546_0222_A_C0GVMACXX_CGATGT_3_read1.fastq.gz	EGAF00000362639
S003AZB5	EGAR00001149132	_EGAR00001149132_131105_SN935_0181_A_C0FRDACXX_GTGAAA_2_read1.fastq.gz	EGAF00000317330
S003JHB4	EGAR00001147743	_EGAR00001147743_131029_SN935_0180_A_C131VACXX_GCCAAT_8_read1.fastq.gz	EGAF00000321686
S003KFB5	EGAR00001149128	_EGAR00001149128_131105_SN935_0181_A_C0FRDACXX_GTGAAA_4_read1.fastq.gz	EGAF00000317326
S003MBB5	EGAR00001149124	_EGAR00001149124_131105_SN935_0181_A_C0FRDACXX_GCCAAT_6_read1.fastq.gz	EGAF00000317322
S003P5B3	EGAR00001149122	_EGAR00001149122_131105_SN935_0181_A_C0FRDACXX_GTGAAA_7_read1.fastq.gz	EGAF00000317320
S003Q3B3	EGAR00001155885	_EGAR00001155885_131107_SN546_0222_A_C0GVMACXX_GCCAAT_7_read1.fastq.gz	EGAF00000362630
S003R1B1	EGAR00001155891	_EGAR00001155891_131107_SN546_0222_A_C0GVMACXX_GCCAAT_4_read1.fastq.gz	EGAF00000362636
S0041CB3	EGAR00001147746	_EGAR00001147746_131029_SN935_0180_A_C131VACXX_CGATGT_7_read1.fastq.gz	EGAF00000321689
S00446B3	EGAR00001155887	_EGAR00001155887_131107_SN546_0222_A_C0GVMACXX_GTGAAA_6_read1.fastq.gz	EGAF00000362632
S004M7B4	EGAR00001155895	_EGAR00001155895_131107_SN546_0222_A_C0GVMACXX_GTGAAA_2_read1.fastq.gz	EGAF00000362640
S004N5B2	EGAR00001149126	_EGAR00001149126_131105_SN935_0181_A_C0FRDACXX_GTGAAA_5_read1.fastq.gz	EGAF00000317324
S005N1B3	EGAR00001149127	_EGAR00001149127_131105_SN935_0181_A_C0FRDACXX_CGATGT_5_read1.fastq.gz	EGAF00000317325
S005VMB2	EGAR00001149133	_EGAR00001149133_131105_SN935_0181_A_C0FRDACXX_CGATGT_2_read1.fastq.gz	EGAF00000317331
S005WKB2	EGAR00001149129	_EGAR00001149129_131105_SN935_0181_A_C0FRDACXX_ACAGTG_4_read1.fastq.gz	EGAF00000317327
S00630B6	EGAR00001149135	_EGAR00001149135_131105_SN935_0181_A_C0FRDACXX_ACAGTG_1_read1.fastq.gz	EGAF00000317333
S0064ZB1	EGAR00001149120	_EGAR00001149120_131105_SN935_0181_A_C0FRDACXX_GTGAAA_8_read1.fastq.gz	EGAF00000317318
S006UKB4	EGAR00001155897	_EGAR00001155897_131107_SN546_0222_A_C0GVMACXX_GCCAAT_1_read1.fastq.gz	EGAF00000362642
S006XEB2	EGAR00001155890	_EGAR00001155890_131107_SN546_0222_A_C0GVMACXX_ACAGTG_5_read1.fastq.gz	EGAF00000362635
S007CFBA	EGAR00001155888	_EGAR00001155888_131107_SN546_0222_A_C0GVMACXX_CGATGT_6_read1.fastq.gz	EGAF00000362633
S007DDBA	EGAR00001147744	_EGAR00001147744_131029_SN935_0180_A_C131VACXX_CTTGTA_8_read1.fastq.gz	EGAF00000321687
S007F9B2	EGAR00001147757	_EGAR00001147757_131029_SN935_0180_A_C131VACXX_GCCAAT_1_read1.fastq.gz	EGAF00000321700
S007G7B2	EGAR00001147752	_EGAR00001147752_131029_SN935_0180_A_C131VACXX_ACAGTG_4_read1.fastq.gz	EGAF00000321695
S007PQB1	EGAR00001147750	_EGAR00001147750_131029_SN935_0180_A_C131VACXX_CTTGTA_5_read1.fastq.gz	EGAF00000321693
S007VEB2	EGAR00001149131	_EGAR00001149131_131105_SN935_0181_A_C0FRDACXX_CTTGTA_3_read1.fastq.gz	EGAF00000317329
