sample_id	ega_id	fastq	ega_file
S010P9B4	EGAR00001299922	_EGAR00001299922_150205_SN935_0005_B_C69GUACXX_ACAGTG_6_read1.fastq.gz	EGAF00000769138
S010VYB4	EGAR00001320094	_EGAR00001320094_150402_SN935_0014_B_C700DACXX_ACTTGA_6_read1.fastq.gz	EGAF00000792040
S011AZB5	EGAR00001314238	_EGAR00001314238_150312_SN935_0009_B_C6CV0ACXX_GTGAAA_1_read1.fastq.gz	EGAF00000787680
S011DTB7	EGAR00001314234	_EGAR00001314234_150312_SN935_0009_B_C6CV0ACXX_TAGCTT_3_read1.fastq.gz	EGAF00000787666
S011ERB4	EGAR00001314232	_EGAR00001314232_150312_SN935_0009_B_C6CV0ACXX_GTGAAA_4_read1.fastq.gz	EGAF00000787664
S011HLB4	EGAR00001314239	_EGAR00001314239_150312_SN935_0009_B_C6CV0ACXX_ACAGTG_1_read1.fastq.gz	EGAF00000787681
S011JHB2	EGAR00001314235	_EGAR00001314235_150312_SN935_0009_B_C6CV0ACXX_ATGTCA_3_read1.fastq.gz	EGAF00000787667
S011UWB4	EGAR00001314236	_EGAR00001314236_150312_SN935_0009_B_C6CV0ACXX_GTCCGC_2_read1.fastq.gz	EGAF00000787668
S01238B4	EGAR00001314233	_EGAR00001314233_150312_SN935_0009_B_C6CV0ACXX_CGATGT_4_read1.fastq.gz	EGAF00000787665
S01246B4	EGAR00001314230	_EGAR00001314230_150312_SN935_0009_B_C6CV0ACXX_GGCTAC_5_read1.fastq.gz	EGAF00000787662
S0130AB2	EGAR00001314241	_EGAR00001314241_150312_SN935_0008_A_C6CW3ACXX_CTTGTA_8_read1.fastq.gz	EGAF00000787671
S01342B4	EGAR00001314237	_EGAR00001314237_150312_SN935_0009_B_C6CV0ACXX_ACTGAT_2_read1.fastq.gz	EGAF00000787669
S0137XB5	EGAR00001314231	_EGAR00001314231_150312_SN935_0009_B_C6CV0ACXX_CAGATC_5_read1.fastq.gz	EGAF00000787663
S013CNB4	EGAR00001314240	_EGAR00001314240_150312_SN935_0008_A_C6CW3ACXX_GCCAAT_8_read1.fastq.gz	EGAF00000787670
S013DLB4	EGAR00001314242	_EGAR00001314242_150312_SN935_0008_A_C6CW3ACXX_GGCTAC_7_read1.fastq.gz	EGAF00000787672
S013HDB1	EGAR00001314245	_EGAR00001314245_150312_SN935_0008_A_C6CW3ACXX_ACTTGA_6_read1.fastq.gz	EGAF00000787684
S013K7B4	EGAR00001314243	_EGAR00001314243_150312_SN935_0008_A_C6CW3ACXX_CAGATC_7_read1.fastq.gz	EGAF00000787682
