sample_id	genotype_id	fq1	fq2	sex	biosample_id	population_code	population_name	superpopulation_code	superpopulation_name
ERR188143	NA18487	ERR188143_1.fastq.gz	ERR188143_2.fastq.gz	male	SAME124098	YRI	Yoruba	AFR	African
ERR188144	HG00139	ERR188144_1.fastq.gz	ERR188144_2.fastq.gz	male	SAME123060	GBR	British	EUR	European
ERR188145	NA20519	ERR188145_1.fastq.gz	ERR188145_2.fastq.gz	male	SAME123179	TSI	Tuscan	EUR	European
ERR188146	HG00180	ERR188146_1.fastq.gz	ERR188146_2.fastq.gz	female	SAME123645	FIN	Finnish	EUR	European
ERR188147	NA20804	ERR188147_1.fastq.gz	ERR188147_2.fastq.gz	female	SAME125224	TSI	Tuscan	EUR	European
ERR188148	NA12282	ERR188148_1.fastq.gz	ERR188148_2.fastq.gz	male	SAME124640	CEU	CEPH	EUR	European
ERR188149	HG00182	ERR188149_1.fastq.gz	ERR188149_2.fastq.gz	male	SAME123643	FIN	Finnish	EUR	European
ERR188150	HG00366	ERR188150_1.fastq.gz	ERR188150_2.fastq.gz	male	SAME124541	FIN	Finnish	EUR	European
ERR188151	NA18489	ERR188151_1.fastq.gz	ERR188151_2.fastq.gz	female	SAME124102	YRI	Yoruba	AFR	African
ERR188152	NA12751	ERR188152_1.fastq.gz	ERR188152_2.fastq.gz	female	SAME123515	CEU	CEPH	EUR	European
ERR188153	NA20765	ERR188153_1.fastq.gz	ERR188153_2.fastq.gz	male	SAME124367	TSI	Tuscan	EUR	European
ERR188154	HG00251	ERR188154_1.fastq.gz	ERR188154_2.fastq.gz	male	SAME123053	GBR	British	EUR	European
ERR188155	NA20790	ERR188155_1.fastq.gz	ERR188155_2.fastq.gz	female	SAME123815	TSI	Tuscan	EUR	European
ERR188156	HG00335	ERR188156_1.fastq.gz	ERR188156_2.fastq.gz	male	SAME123982	FIN	Finnish	EUR	European
ERR188157	NA12872	ERR188157_1.fastq.gz	ERR188157_2.fastq.gz	male	SAME123387	CEU	CEPH	EUR	European
ERR188158	NA18502	ERR188158_1.fastq.gz	ERR188158_2.fastq.gz	female	SAME125055	YRI	Yoruba	AFR	African
ERR188159	HG00245	ERR188159_1.fastq.gz	ERR188159_2.fastq.gz	female	SAME123218	GBR	British	EUR	European
ERR188160	NA20513	ERR188160_1.fastq.gz	ERR188160_2.fastq.gz	male	SAME124561	TSI	Tuscan	EUR	European
ERR188161	NA11918	ERR188161_1.fastq.gz	ERR188161_2.fastq.gz	female	SAME123135	CEU	CEPH	EUR	European
ERR188162	NA18508	ERR188162_1.fastq.gz	ERR188162_2.fastq.gz	female	SAME124318	YRI	Yoruba	AFR	African
ERR188163	HG00174	ERR188163_1.fastq.gz	ERR188163_2.fastq.gz	female	SAME124958	FIN	Finnish	EUR	European
ERR188164	HG00159	ERR188164_1.fastq.gz	ERR188164_2.fastq.gz	male	SAME124586	GBR	British	EUR	European
ERR188165	NA18510	ERR188165_1.fastq.gz	ERR188165_2.fastq.gz	male	SAME124886	YRI	Yoruba	AFR	African
ERR188166	HG00108	ERR188166_1.fastq.gz	ERR188166_2.fastq.gz	male	SAME125161	GBR	British	EUR	European
ERR188167	HG00106	ERR188167_1.fastq.gz	ERR188167_2.fastq.gz	female	SAME123948	GBR	British	EUR	European
ERR188168	HG00346	ERR188168_1.fastq.gz	ERR188168_2.fastq.gz	female	SAME125264	FIN	Finnish	EUR	European
ERR188169	HG00338	ERR188169_1.fastq.gz	ERR188169_2.fastq.gz	male	SAME123990	FIN	Finnish	EUR	European
ERR188170	NA19131	ERR188170_1.fastq.gz	ERR188170_2.fastq.gz	female	SAME125230	YRI	Yoruba	AFR	African
ERR188171	NA20783	ERR188171_1.fastq.gz	ERR188171_2.fastq.gz	male	SAME123607	TSI	Tuscan	EUR	European
ERR188172	NA12154	ERR188172_1.fastq.gz	ERR188172_2.fastq.gz	male	SAME124959	CEU	CEPH	EUR	European
ERR188173	NA20785	ERR188173_1.fastq.gz	ERR188173_2.fastq.gz	male	SAME123611	TSI	Tuscan	EUR	European
ERR188174	NA19198	ERR188174_1.fastq.gz	ERR188174_2.fastq.gz	male	SAME124049	YRI	Yoruba	AFR	African
ERR188175	HG00359	ERR188175_1.fastq.gz	ERR188175_2.fastq.gz	female	SAME125127	FIN	Finnish	EUR	European
ERR188176	NA07357	ERR188176_1.fastq.gz	ERR188176_2.fastq.gz	male	SAME123412	CEU	CEPH	EUR	European
ERR188177	NA12234	ERR188177_1.fastq.gz	ERR188177_2.fastq.gz	female	SAME124003	CEU	CEPH	EUR	European
ERR188178	NA19114	ERR188178_1.fastq.gz	ERR188178_2.fastq.gz	female	SAME122953	YRI	Yoruba	AFR	African
ERR188179	NA20774	ERR188179_1.fastq.gz	ERR188179_2.fastq.gz	female	SAME124572	TSI	Tuscan	EUR	European
ERR188180	HG00177	ERR188180_1.fastq.gz	ERR188180_2.fastq.gz	female	SAME124957	FIN	Finnish	EUR	European
ERR188181	NA12413	ERR188181_1.fastq.gz	ERR188181_2.fastq.gz	male	SAME124055	CEU	CEPH	EUR	European
ERR188182	NA18912	ERR188182_1.fastq.gz	ERR188182_2.fastq.gz	female	SAME123404	YRI	Yoruba	AFR	African
ERR188183	NA19185	ERR188183_1.fastq.gz	ERR188183_2.fastq.gz	female	SAME123858	YRI	Yoruba	AFR	African
ERR188184	NA19147	ERR188184_1.fastq.gz	ERR188184_2.fastq.gz	female	SAME124613	YRI	Yoruba	AFR	African
ERR188185	HG00260	ERR188185_1.fastq.gz	ERR188185_2.fastq.gz	male	SAME123582	GBR	British	EUR	European
ERR188186	HG00115	ERR188186_1.fastq.gz	ERR188186_2.fastq.gz	male	SAME125344	GBR	British	EUR	European
ERR188187	HG00176	ERR188187_1.fastq.gz	ERR188187_2.fastq.gz	female	SAME124956	FIN	Finnish	EUR	European
ERR188188	NA19099	ERR188188_1.fastq.gz	ERR188188_2.fastq.gz	female	SAME125240	YRI	Yoruba	AFR	African
ERR188189	HG00133	ERR188189_1.fastq.gz	ERR188189_2.fastq.gz	female	SAME123062	GBR	British	EUR	European
ERR188190	HG00171	ERR188190_1.fastq.gz	ERR188190_2.fastq.gz	female	SAME124961	FIN	Finnish	EUR	European
ERR188191	NA20770	ERR188191_1.fastq.gz	ERR188191_2.fastq.gz	male	SAME124576	TSI	Tuscan	EUR	European
ERR188192	NA20786	ERR188192_1.fastq.gz	ERR188192_2.fastq.gz	female	SAME123610	TSI	Tuscan	EUR	European
ERR188193	NA19141	ERR188193_1.fastq.gz	ERR188193_2.fastq.gz	male	SAME124607	YRI	Yoruba	AFR	African
ERR188194	HG00284	ERR188194_1.fastq.gz	ERR188194_2.fastq.gz	male	SAME122835	FIN	Finnish	EUR	European
ERR188195	NA20792	ERR188195_1.fastq.gz	ERR188195_2.fastq.gz	male	SAME123817	TSI	Tuscan	EUR	European
ERR188196	NA12717	ERR188196_1.fastq.gz	ERR188196_2.fastq.gz	female	SAME123911	CEU	CEPH	EUR	European
ERR188197	HG00341	ERR188197_1.fastq.gz	ERR188197_2.fastq.gz	male	SAME124922	FIN	Finnish	EUR	European
ERR188198	HG00373	ERR188198_1.fastq.gz	ERR188198_2.fastq.gz	female	SAME124749	FIN	Finnish	EUR	European
ERR188199	NA20585	ERR188199_1.fastq.gz	ERR188199_2.fastq.gz	female	SAME122861	TSI	Tuscan	EUR	European
ERR188200	NA18519	ERR188200_1.fastq.gz	ERR188200_2.fastq.gz	male	SAME124888	YRI	Yoruba	AFR	African
ERR188201	NA20588	ERR188201_1.fastq.gz	ERR188201_2.fastq.gz	male	SAME122866	TSI	Tuscan	EUR	European
ERR188202	NA06989	ERR188202_1.fastq.gz	ERR188202_2.fastq.gz	female	SAME124760	CEU	CEPH	EUR	European
ERR188203	NA20542	ERR188203_1.fastq.gz	ERR188203_2.fastq.gz	female	SAME125150	TSI	Tuscan	EUR	European
ERR188204	NA20524	ERR188204_1.fastq.gz	ERR188204_2.fastq.gz	male	SAME124016	TSI	Tuscan	EUR	European
ERR188205	HG00310	ERR188205_1.fastq.gz	ERR188205_2.fastq.gz	male	SAME124338	FIN	Finnish	EUR	European
ERR188206	HG00100	ERR188206_1.fastq.gz	ERR188206_2.fastq.gz	female	SAME125154	GBR	British	EUR	European
ERR188207	NA19222	ERR188207_1.fastq.gz	ERR188207_2.fastq.gz	female	SAME124147	YRI	Yoruba	AFR	African
ERR188208	NA20538	ERR188208_1.fastq.gz	ERR188208_2.fastq.gz	male	SAME124163	TSI	Tuscan	EUR	European
ERR188209	NA19214	ERR188209_1.fastq.gz	ERR188209_2.fastq.gz	female	SAME125386	YRI	Yoruba	AFR	African
ERR188210	NA20816	ERR188210_1.fastq.gz	ERR188210_2.fastq.gz	male	SAME125186	TSI	Tuscan	EUR	European
ERR188211	NA19175	ERR188211_1.fastq.gz	ERR188211_2.fastq.gz	male	SAME124887	YRI	Yoruba	AFR	African
ERR188212	HG00231	ERR188212_1.fastq.gz	ERR188212_2.fastq.gz	female	SAME124126	GBR	British	EUR	European
ERR188213	NA06986	ERR188213_1.fastq.gz	ERR188213_2.fastq.gz	male	SAME124764	CEU	CEPH	EUR	European
ERR188214	NA18486	ERR188214_1.fastq.gz	ERR188214_2.fastq.gz	male	SAME124099	YRI	Yoruba	AFR	African
ERR188215	HG00361	ERR188215_1.fastq.gz	ERR188215_2.fastq.gz	female	SAME124538	FIN	Finnish	EUR	European
ERR188216	NA12873	ERR188216_1.fastq.gz	ERR188216_2.fastq.gz	female	SAME123388	CEU	CEPH	EUR	European
ERR188217	NA11832	ERR188217_1.fastq.gz	ERR188217_2.fastq.gz	female	SAME124554	CEU	CEPH	EUR	European
ERR188218	HG00325	ERR188218_1.fastq.gz	ERR188218_2.fastq.gz	male	SAME123793	FIN	Finnish	EUR	European
ERR188219	HG00117	ERR188219_1.fastq.gz	ERR188219_2.fastq.gz	male	SAME125346	GBR	British	EUR	European
ERR188220	NA12400	ERR188220_1.fastq.gz	ERR188220_2.fastq.gz	female	SAME123881	CEU	CEPH	EUR	European
ERR188221	NA19113	ERR188221_1.fastq.gz	ERR188221_2.fastq.gz	male	SAME123838	YRI	Yoruba	AFR	African
ERR188222	HG00265	ERR188222_1.fastq.gz	ERR188222_2.fastq.gz	male	SAME123579	GBR	British	EUR	European
ERR188223	NA18908	ERR188223_1.fastq.gz	ERR188223_2.fastq.gz	male	SAME123560	YRI	Yoruba	AFR	African
ERR188224	NA20528	ERR188224_1.fastq.gz	ERR188224_2.fastq.gz	male	SAME124012	TSI	Tuscan	EUR	European
ERR188225	NA19152	ERR188225_1.fastq.gz	ERR188225_2.fastq.gz	female	SAME123017	YRI	Yoruba	AFR	African
ERR188226	NA20532	ERR188226_1.fastq.gz	ERR188226_2.fastq.gz	male	SAME124171	TSI	Tuscan	EUR	European
ERR188227	NA12874	ERR188227_1.fastq.gz	ERR188227_2.fastq.gz	male	SAME123389	CEU	CEPH	EUR	European
ERR188228	NA12829	ERR188228_1.fastq.gz	ERR188228_2.fastq.gz	male	SAME125075	CEU	CEPH	EUR	European
ERR188229	NA12044	ERR188229_1.fastq.gz	ERR188229_2.fastq.gz	female	SAME123212	CEU	CEPH	EUR	European
ERR188230	HG00278	ERR188230_1.fastq.gz	ERR188230_2.fastq.gz	male	SAME123425	FIN	Finnish	EUR	European
ERR188231	HG00097	ERR188231_1.fastq.gz	ERR188231_2.fastq.gz	female	SAME123267	GBR	British	EUR	European
ERR188232	NA19160	ERR188232_1.fastq.gz	ERR188232_2.fastq.gz	male	SAME123758	YRI	Yoruba	AFR	African
ERR188233	NA11993	ERR188233_1.fastq.gz	ERR188233_2.fastq.gz	female	SAME123965	CEU	CEPH	EUR	European
ERR188234	NA19116	ERR188234_1.fastq.gz	ERR188234_2.fastq.gz	female	SAME124911	YRI	Yoruba	AFR	African
ERR188235	NA11930	ERR188235_1.fastq.gz	ERR188235_2.fastq.gz	male	SAME125095	CEU	CEPH	EUR	European
ERR188236	HG00118	ERR188236_1.fastq.gz	ERR188236_2.fastq.gz	female	SAME125347	GBR	British	EUR	European
ERR188237	HG00234	ERR188237_1.fastq.gz	ERR188237_2.fastq.gz	male	SAME124123	GBR	British	EUR	European
ERR188238	HG00269	ERR188238_1.fastq.gz	ERR188238_2.fastq.gz	female	SAME123575	FIN	Finnish	EUR	European
ERR188239	NA20520	ERR188239_1.fastq.gz	ERR188239_2.fastq.gz	male	SAME124019	TSI	Tuscan	EUR	European
ERR188240	HG00306	ERR188240_1.fastq.gz	ERR188240_2.fastq.gz	female	SAME124159	FIN	Finnish	EUR	European
ERR188241	HG00356	ERR188241_1.fastq.gz	ERR188241_2.fastq.gz	female	SAME125123	FIN	Finnish	EUR	European
ERR188242	HG00258	ERR188242_1.fastq.gz	ERR188242_2.fastq.gz	female	SAME123057	GBR	British	EUR	European
ERR188243	NA19098	ERR188243_1.fastq.gz	ERR188243_2.fastq.gz	male	SAME123633	YRI	Yoruba	AFR	African
ERR188244	NA12718	ERR188244_1.fastq.gz	ERR188244_2.fastq.gz	female	SAME124454	CEU	CEPH	EUR	European
ERR188245	HG00128	ERR188245_1.fastq.gz	ERR188245_2.fastq.gz	female	SAME122868	GBR	British	EUR	European
ERR188246	NA11840	ERR188246_1.fastq.gz	ERR188246_2.fastq.gz	female	SAME125139	CEU	CEPH	EUR	European
