sample_id	genotype_id	fq1	fq2	sex	biosample_id	population_code	population_name	superpopulation_code	superpopulation_name
ERR188247	HG00104	ERR188247_1.fastq.gz	ERR188247_2.fastq.gz	female	SAME123950	GBR	British	EUR	European
ERR188248	HG00178	ERR188248_1.fastq.gz	ERR188248_2.fastq.gz	female	SAME124964	FIN	Finnish	EUR	European
ERR188249	NA20802	ERR188249_1.fastq.gz	ERR188249_2.fastq.gz	female	SAME125366	TSI	Tuscan	EUR	European
ERR188250	HG00272	ERR188250_1.fastq.gz	ERR188250_2.fastq.gz	female	SAME123420	FIN	Finnish	EUR	European
ERR188251	NA20756	ERR188251_1.fastq.gz	ERR188251_2.fastq.gz	female	SAME124175	TSI	Tuscan	EUR	European
ERR188252	NA20544	ERR188252_1.fastq.gz	ERR188252_2.fastq.gz	male	SAME125146	TSI	Tuscan	EUR	European
ERR188253	NA20808	ERR188253_1.fastq.gz	ERR188253_2.fastq.gz	female	SAME122813	TSI	Tuscan	EUR	European
ERR188254	NA20506	ERR188254_1.fastq.gz	ERR188254_2.fastq.gz	female	SAME124362	TSI	Tuscan	EUR	European
ERR188255	HG00323	ERR188255_1.fastq.gz	ERR188255_2.fastq.gz	female	SAME123795	FIN	Finnish	EUR	European
ERR188256	NA12777	ERR188256_1.fastq.gz	ERR188256_2.fastq.gz	male	SAME125252	CEU	CEPH	EUR	European
ERR188257	HG00143	ERR188257_1.fastq.gz	ERR188257_2.fastq.gz	male	SAME124393	GBR	British	EUR	European
ERR188258	NA20530	ERR188258_1.fastq.gz	ERR188258_2.fastq.gz	female	SAME124169	TSI	Tuscan	EUR	European
ERR188259	NA20582	ERR188259_1.fastq.gz	ERR188259_2.fastq.gz	female	SAME123474	TSI	Tuscan	EUR	European
ERR188260	HG00369	ERR188260_1.fastq.gz	ERR188260_2.fastq.gz	male	SAME124534	FIN	Finnish	EUR	European
ERR188261	NA19108	ERR188261_1.fastq.gz	ERR188261_2.fastq.gz	female	SAME125378	YRI	Yoruba	AFR	African
ERR188262	NA12283	ERR188262_1.fastq.gz	ERR188262_2.fastq.gz	female	SAME124639	CEU	CEPH	EUR	European
