fastq_md5	fastq_ftp
a7acc7d6c3c73feb62694dc654a61e43;206e18f2fbd39a33c640a9c403bc525e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225864/ERR225864_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225864/ERR225864_2.fastq.gz
2437a195595c8d64bc4417fb70ca8b7b;95c520837d280cb4e2d2615a389cfcba	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225865/ERR225865_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225865/ERR225865_2.fastq.gz
e561e9f2ad90a39d5e8f0f676b2f92cb;5d1c9f32273f1fa0c3ad5894e548a0b2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225866/ERR225866_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225866/ERR225866_2.fastq.gz
6c8d02ca9eb7110651c42e2ce1f1d303;85b7c728d4d3fe0997670d9e1d8fc1c6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225867/ERR225867_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225867/ERR225867_2.fastq.gz
bd5365c9f569ca60ed28d56212f7eb0c;0da2d25e7aca44baec343083bb8f8442	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225868/ERR225868_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225868/ERR225868_2.fastq.gz
30df50061883aa5fb30f410aa5a9d1f9;5d26b13dc6b8a3397e9faf649adafd86	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225869/ERR225869_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225869/ERR225869_2.fastq.gz
0b3476d4d760bcdda571d3e9b1e4be8a;24f02215ee10a5b47fe3a23e093fd9d6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225870/ERR225870_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225870/ERR225870_2.fastq.gz
34b766eeb88e0f3507b007241546f390;aa9e31e51d23c543a56ed9c665e1b1ed	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225871/ERR225871_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225871/ERR225871_2.fastq.gz
f2f21b20a7bb0413c19de2313f00fd3c;fb05c8a46d3fbcdb72c757a15c029fdd	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225872/ERR225872_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225872/ERR225872_2.fastq.gz
236ba6ba67ee5914499913dc9b7f44e0;e981c8a2b936ef58ecfbb828ca8f9525	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225874/ERR225874_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225874/ERR225874_2.fastq.gz
7e8dd4520ed0cacea5067a1fb9df21c2;c5a509d53b6df1fd4a777e355990fdb6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225875/ERR225875_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225875/ERR225875_2.fastq.gz
8312c2d85d88b58019bb8300d736116c;39a31381b6e16b30931e6027dff1e01d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225876/ERR225876_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225876/ERR225876_2.fastq.gz
e6bfab6147483a396e3c21a244183ded;ab42ab722a91ef36ff89d3d83f070ac4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225877/ERR225877_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225877/ERR225877_2.fastq.gz
91b351db0807675694e95399fd56e392;070691d267a9fbe1d7f1384d04cee136	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225878/ERR225878_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225878/ERR225878_2.fastq.gz
6fa5353fbf905f9c6794f34d555ae2dd;bc16ba7d2ffb47abdf69bc6eba7e3433	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225879/ERR225879_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225879/ERR225879_2.fastq.gz
3d5f4f1168ce2ccbf73f02b310297e9c;ff41fa17d13b7fa0a4a3bbc01e454a71	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225880/ERR225880_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225880/ERR225880_2.fastq.gz
6af836131bbad27458d8f8d2daec6159;e5212b1a605cdc95950c74b21a7f9621	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225883/ERR225883_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225883/ERR225883_2.fastq.gz
