sample_id	file_name
SAMEA3402384	EGAR00001330425_islet_sample105.bam
SAMEA3402385	EGAR00001330426_islet_sample106.bam
SAMEA3402386	EGAR00001330427_islet_sample107.bam
SAMEA3402387	EGAR00001330428_islet_sample108.bam
SAMEA3402388	EGAR00001330429_islet_sample109.bam
SAMEA3402389	EGAR00001330431_islet_sample110.bam
SAMEA3402390	EGAR00001330432_islet_sample111.bam
SAMEA3402391	EGAR00001330433_islet_sample112.bam
SAMEA3402392	EGAR00001330434_islet_sample113.bam
SAMEA3402393	EGAR00001330435_islet_sample114.bam
SAMEA3402394	EGAR00001330436_islet_sample115.bam
SAMEA3402395	EGAR00001330437_islet_sample116.bam
SAMEA3402396	EGAR00001330438_islet_sample117.bam
SAMEA3402397	EGAR00001330439_islet_sample118.bam
