biosample_id	sample_id	sample_name	sex	donor_id
SAMN10104387	SRR7463578	1369V071211_IFN	female	IGTB1369
SAMN10104152	SRR7463579	1372V062911_IFN	female	IGTB1372
SAMN10104099	SRR7463580	1380V101911_IFN	male	IGTB1380
SAMN10104230	SRR7463581	1384V072111_IFN	male	IGTB1384
SAMN10104479	SRR7463582	1385V072011_IFN	male	IGTB1385
SAMN10104489	SRR7463583	1393V060711_IFN	female	IGTB1393
SAMN10103983	SRR7463584	1394V082511_IFN	male	IGTB1394
SAMN10104120	SRR7463585	1396V022212_IFN	female	IGTB1396
SAMN10104261	SRR7463586	1399V111011_IFN	female	IGTB1399
SAMN10104097	SRR7463587	1406V111511_IFN	female	IGTB1406
SAMN10104227	SRR7463588	1411V110311_IFN	female	IGTB1411
SAMN10104259	SRR7463589	1415V091311_IFN	female	IGTB1415
SAMN10104419	SRR7463590	1416V021612_IFN	male	IGTB1416
SAMN10104472	SRR7463591	1417V092911_IFN	male	IGTB1417
SAMN10103989	SRR7463592	1418V080911_IFN	female	IGTB1418
SAMN10104209	SRR7463593	1419V110111_IFN	female	IGTB1419
SAMN10104048	SRR7463594	1421V091311_IFN	male	IGTB1421
SAMN10104171	SRR7463595	1424V081811_IFN	female	IGTB1424
SAMN10103925	SRR7463596	1432V092111_IFN	male	IGTB1432
SAMN10104194	SRR7463597	1433V080211_IFN	male	IGTB1433
SAMN10104450	SRR7463598	1434V081811_IFN	female	IGTB1434
SAMN10104119	SRR7463599	1435V120111_IFN	male	IGTB1435
SAMN10104421	SRR7463600	1436V110311_IFN	female	IGTB1436
SAMN10104100	SRR7463601	1437V110911_IFN	female	IGTB1437
SAMN10104024	SRR7463602	1438V081111_IFN	female	IGTB1438
SAMN10104351	SRR7463603	1439V092111_IFN	male	IGTB1439
SAMN10103921	SRR7463604	1440V101211_IFN	male	IGTB1440
SAMN10103954	SRR7463605	1442V100411_IFN	female	IGTB1442
SAMN10104275	SRR7463606	1446V062811_IFN	male	IGTB1446
SAMN10104411	SRR7463607	1448V081711_IFN	female	IGTB1448
SAMN10104356	SRR7463608	1452V063011_IFN	male	IGTB1452
SAMN10104466	SRR7463609	1458V092711_IFN	male	IGTB1458
SAMN10103988	SRR7463610	1466V011812_IFN	male	IGTB1466
SAMN10104186	SRR7463611	1467V121411_IFN	female	IGTB1467
