 FID                 IID       PEDSEX       SNPSEX       STATUS            F
 197   8324843038_R06C01            1            1           OK       0.9116
 198   8543229003_R02C01            2            2           OK     -0.01735
 199   8543229098_R02C01            2            2           OK    -0.004526
 200   8543229075_R02C02            1            1           OK       0.9248
 201   5434289105_R02C01            2            2           OK     -0.04816
 202   5443804068_R04C02            1            1           OK       0.9445
 203   5434289099_R02C01            1            1           OK       0.9391
 204   8327817131_R01C02            1            1           OK       0.9078
 205   5434289074_R02C02            1            1           OK       0.9457
 206   8327817147_R01C01            2            2           OK      0.08307
 207   8543229215_R04C01            1            1           OK       0.9222
 208   5434289071_R05C02            1            1           OK       0.9448
 209   8324843039_R05C01            2            2           OK     -0.02121
 210   5443804116_R04C01            2            2           OK     -0.01192
 211   5434289104_R01C01            2            2           OK      0.01755
 212   5434289074_R03C01            2            2           OK      0.03362
 213   8543229215_R05C02            2            2           OK       0.0216
 214   5434289099_R03C02            2            2           OK    -0.005501
 215   5443804068_R05C01            1            1           OK       0.9395
 216   5443804116_R05C02            1            1           OK       0.9271
 217   8324843039_R04C02            2            2           OK      0.05287
 218   5434289071_R04C01            1            1           OK       0.9414
 219   5443804116_R01C01            1            1           OK       0.9322
 220   5434289104_R04C01            1            1           OK       0.9374
 221   8543229215_R01C01            2            2           OK     0.001912
 222   8327817147_R04C01            2            2           OK       -0.011
 223   8327817131_R04C02            2            2           OK     -0.04279
 224   5443804068_R01C02            1            1           OK         0.94
 225   8324843039_R01C02            2            2           OK      0.02063
 226   5434289071_R01C01            1            1           OK       0.9393
 227   5434289104_R05C02            1            1           OK       0.9455
 228   8327817131_R05C01            2            2           OK     -0.01639
 229   5434289099_R06C02            0            1      PROBLEM       0.8926
 230   8327817147_R05C02            2            2           OK      0.01696
 231   5434289074_R06C01            2            2           OK      0.08133
 232   8543229098_R06C02            1            1           OK       0.9196
 233   8543229003_R06C02            2            2           OK      0.00821
 234   5434289081_R04C01            1            1           OK       0.9397
 235   8324843038_R02C02            2            2           OK     -0.01142
 236   5434289001_R06C01            2            2           OK      0.02889
 237   5434289093_R01C02            2            2           OK     0.004792
 238   5434289105_R06C02            2            2           OK      0.01548
 239   5443804058_R03C02            1            1           OK       0.9356
 240   8543229075_R06C01            1            1           OK       0.9231
 241   5434289051_R04C02            2            2           OK      0.03425
 242   5434289058_R03C01            2            2           OK     -0.01896
 243   5434289003_R05C02            2            2           OK    -0.007341
 244   8327817122_R03C02            1            1           OK       0.9303
 245   8324843130_R02C02            2            2           OK     0.008098
 246   8327817141_R02C01            1            1           OK       0.9246
 247   5434289075_R05C01            2            2           OK    -0.009068
 248   5434289041_R02C02            2            2           OK      0.04383
 249   5443804058_R02C01            1            1           OK       0.9454
 250   5434289058_R02C02            2            2           OK      0.01126
 251   5434289051_R05C01            2            2           OK      0.03381
 252   5434289081_R05C02            1            1           OK       0.9397
 253   8324843038_R03C01            1            1           OK       0.9312
 254   5434289075_R04C02            1            1           OK       0.9399
 255   5434289041_R03C01            2            2           OK      0.05554
 256   5443804115_R01C02            2            2           OK    -0.008071
 257   8546260098_R01C01            2            2           OK       0.0427
 258   8327817122_R02C01            2            2           OK      0.02388
 259   5434289003_R04C01            2            2           OK     -0.02641
 260   8327817141_R03C02            2            2           OK      0.00169
 261   8324843130_R03C01            1            1           OK       0.9349
 262   5443804115_R02C02            2            2           OK    -0.007484
 263   8327817122_R01C01            2            2           OK     -0.01227
 264   8546260098_R02C01            1            1           OK       0.9344
 265   5434289058_R01C02            2            2           OK    -0.007607
