INDV	N_DATA	N_GENOTYPES_FILTERED	N_MISS	F_MISS
5434289104_R04C01	730382	0	1512	0.00207015
8543229215_R01C01	730382	0	10589	0.0144979
8327817147_R04C01	730382	0	12797	0.017521
8327817131_R04C02	730382	0	7476	0.0102357
5443804068_R01C02	730382	0	3344	0.00457843
8324843039_R01C02	730382	0	14314	0.019598
5434289071_R01C01	730382	0	2047	0.00280264
5434289104_R05C02	730382	0	1072	0.00146773
8327817131_R05C01	730382	0	8013	0.010971
5434289099_R06C02	730382	0	48544	0.0664639
8327817147_R05C02	730382	0	20202	0.0276595
5434289074_R06C01	730382	0	4207	0.00576
8543229098_R06C02	730382	0	13158	0.0180152
8543229003_R06C02	730382	0	12580	0.0172239
5434289081_R04C01	730382	0	813	0.00111312
8324843038_R02C02	730382	0	9195	0.0125893
5434289001_R06C01	730382	0	7348	0.0100605
5434289093_R01C02	730382	0	3647	0.00499328
5434289105_R06C02	730382	0	2998	0.0041047
5443804058_R03C02	730382	0	1781	0.00243845
8543229075_R06C01	730382	0	10792	0.0147758
5434289051_R04C02	730382	0	2130	0.00291628
5434289058_R03C01	730382	0	2951	0.00404035
5434289003_R05C02	730382	0	3536	0.0048413
8327817122_R03C02	730382	0	6534	0.008946
8324843130_R02C02	730382	0	16482	0.0225663
8327817141_R02C01	730382	0	9921	0.0135833
5434289075_R05C01	730382	0	1968	0.00269448
5434289041_R02C02	730382	0	3402	0.00465784
5443804058_R02C01	730382	0	2078	0.00284509
5434289058_R02C02	730382	0	2985	0.0040869
5434289051_R05C01	730382	0	2036	0.00278758
5434289081_R05C02	730382	0	1281	0.00175388
8324843038_R03C01	730382	0	8226	0.0112626
5434289075_R04C02	730382	0	2385	0.00326541
5434289041_R03C01	730382	0	3514	0.00481118
5443804115_R01C02	730382	0	3718	0.00509049
8546260098_R01C01	730382	0	15852	0.0217037
8327817122_R02C01	730382	0	7641	0.0104616
5434289003_R04C01	730382	0	8899	0.012184
8327817141_R03C02	730382	0	7687	0.0105246
8324843130_R03C01	730382	0	6753	0.00924585
5443804115_R02C02	730382	0	4594	0.00628986
8327817122_R01C01	730382	0	18557	0.0254073
8546260098_R02C01	730382	0	1877	0.00256989
5434289058_R01C02	730382	0	3216	0.00440318
5434289051_R06C01	730382	0	1367	0.00187162
8543229075_R04C02	730382	0	11967	0.0163846
5434289105_R04C01	730382	0	3178	0.00435115
5443804058_R01C01	730382	0	3628	0.00496726
5434289093_R03C01	730382	0	2540	0.00347763
5434289001_R04C02	730382	0	3600	0.00492893
5434289081_R06C02	730382	0	7873	0.0107793
8543229003_R04C01	730382	0	9092	0.0124483
8543229098_R04C01	730382	0	12357	0.0169185
8327817141_R01C01	730382	0	8935	0.0122333
8324843130_R01C02	730382	0	21992	0.0301103
8546260098_R03C02	730382	0	3327	0.00455515
5434289003_R06C02	730382	0	4831	0.00661435
5443804115_R03C01	730382	0	4165	0.0057025
5434289041_R01C02	730382	0	3382	0.00463045
5434289075_R06C01	730382	0	24353	0.0333428
5434289001_R05C01	730382	0	35151	0.0481269
5434289093_R02C02	730382	0	3238	0.0044333
8324843038_R01C02	730382	0	7127	0.00975791
8543229098_R05C02	730382	0	9710	0.0132944
8543229003_R05C02	730382	0	12246	0.0167666
5434289105_R05C02	730382	0	2766	0.00378706
8543229075_R05C01	730382	0	18366	0.0251457
5443804068_R03C01	730382	0	3225	0.0044155
5434289099_R05C02	730382	0	25897	0.0354568
8327817131_R06C01	730382	0	6321	0.00865438
5434289074_R05C01	730382	0	1071	0.00146636
8543229215_R03C02	730382	0	8598	0.0117719
8327817147_R06C02	730382	0	12591	0.0172389
5434289071_R02C01	730382	0	2950	0.00403898
8324843039_R02C02	730382	0	13665	0.0187094
5443804116_R03C02	730382	0	3680	0.00503846
5434289104_R06C02	730382	0	2916	0.00399243
5434289074_R04C02	730382	0	1638	0.00224266
8543229215_R02C01	730382	0	11134	0.0152441
5443804068_R02C02	730382	0	4102	0.00561624
5443804116_R02C01	730382	0	3731	0.00510829
8324843039_R03C01	730382	0	8532	0.0116816
5434289071_R03C02	730382	0	3179	0.00435252
5434289104_R03C02	730382	0	2455	0.00336125
8327817147_R03C02	730382	0	15099	0.0206727
8543229215_R06C02	730382	0	8580	0.0117473
8327817131_R03C01	730382	0	10312	0.0141186
5443804068_R06C01	730382	0	4496	0.00615568
8324843039_R06C01	730382	0	8523	0.0116692
5434289071_R06C02	730382	0	3759	0.00514662
5434289104_R02C01	730382	0	1506	0.00206193
8327817131_R02C02	730382	0	7378	0.0101016
5434289099_R01C01	730382	0	2581	0.00353377
8327817147_R02C01	730382	0	17267	0.0236411
5434289074_R01C02	730382	0	3868	0.00529586
8543229003_R01C01	730382	0	10286	0.014083
5434289081_R03C02	730382	0	3060	0.00418959
8543229098_R01C01	730382	0	48065	0.065808
8324843038_R05C01	730382	0	12566	0.0172047
5434289093_R06C01	730382	0	1748	0.00239327
5434289001_R01C02	730382	0	3457	0.00473314
8543229075_R01C02	730382	0	41751	0.0571632
5443804058_R04C01	730382	0	1758	0.00240696
5434289105_R01C01	730382	0	3091	0.00423203
5434289058_R04C02	730382	0	1547	0.00211807
5434289051_R03C01	730382	0	1383	0.00189353
8327817122_R04C01	730382	0	9049	0.0123894
5434289003_R02C01	730382	0	2802	0.00383635
8324843130_R05C01	730382	0	9881	0.0135285
8327817141_R05C02	730382	0	7898	0.0108135
5434289075_R02C02	730382	0	2434	0.0033325
5434289041_R05C01	730382	0	2061	0.00282181
5443804058_R05C02	730382	0	1638	0.00224266
5434289051_R02C02	730382	0	1054	0.00144308
5434289058_R05C01	730382	0	1975	0.00270406
5434289081_R02C01	730382	0	1773	0.0024275
8324843038_R04C02	730382	0	9076	0.0124264
5434289075_R03C01	730382	0	2135	0.00292313
5443804115_R06C01	730382	0	3327	0.00455515
5434289041_R04C02	730382	0	2752	0.00376789
8546260098_R06C02	730382	0	2854	0.00390754
5434289003_R03C02	730382	0	3702	0.00506858
8327817122_R05C02	730382	0	15668	0.0214518
8327817141_R04C01	730382	0	7795	0.0106725
8324843130_R04C02	730382	0	6743	0.00923216
